Feature,Day,Albumin,Cell,Coat,Cell Seeding,Co-Cell Seeding
scaffold-8,10,,5.0,-1.0,7.5,-1.0
scaffold-8,12,,5.0,-1.0,7.5,-1.0
scaffold-8,13,,5.0,-1.0,7.5,-1.0
scaffold-8,15,,5.0,-1.0,7.5,-1.0
scaffold-8,16,,5.0,-1.0,7.5,-1.0
scaffold-8,17,,5.0,-1.0,7.5,-1.0
scaffold-8,19,,5.0,-1.0,7.5,-1.0
scaffold-8,20,,5.0,-1.0,7.5,-1.0
scaffold-8,22,,5.0,-1.0,7.5,-1.0
scaffold-8,23,,5.0,-1.0,7.5,-1.0
scaffold-8,24,,5.0,-1.0,7.5,-1.0
scaffold-8,25,,5.0,-1.0,7.5,-1.0
scaffold-8,26,,5.0,-1.0,7.5,-1.0
scaffold-8,27,,5.0,-1.0,7.5,-1.0
scaffold-8,28,,5.0,-1.0,7.5,-1.0
scaffold-8,29,,5.0,-1.0,7.5,-1.0
scaffold-8,30,,5.0,-1.0,7.5,-1.0
scaffold-8,31,,5.0,-1.0,7.5,-1.0
scaffold-8,32,,5.0,-1.0,7.5,-1.0
scaffold-8,33,,5.0,-1.0,7.5,-1.0
scaffold-8,34,,5.0,-1.0,7.5,-1.0
scaffold-8,35,,5.0,-1.0,7.5,-1.0
scaffold-8,36,,5.0,-1.0,7.5,-1.0
scaffold-8,37,,5.0,-1.0,7.5,-1.0
scaffold-8,38,,5.0,-1.0,7.5,-1.0
scaffold-8,39,,5.0,-1.0,7.5,-1.0
scaffold-8,40,,5.0,-1.0,7.5,-1.0
scaffold-8,41,,5.0,-1.0,7.5,-1.0
scaffold-8,42,,5.0,-1.0,7.5,-1.0
scaffold-8,43,,5.0,-1.0,7.5,-1.0
scaffold-8,44,,5.0,-1.0,7.5,-1.0
scaffold-8,45,,5.0,-1.0,7.5,-1.0
scaffold-8,46,,5.0,-1.0,7.5,-1.0
scaffold-8,47,,5.0,-1.0,7.5,-1.0
scaffold-8,48,,5.0,-1.0,7.5,-1.0
scaffold-8,49,,5.0,-1.0,7.5,-1.0
scaffold-8,50,,5.0,-1.0,7.5,-1.0
scaffold-8,51,,5.0,-1.0,7.5,-1.0
scaffold-8,52,,5.0,-1.0,7.5,-1.0
scaffold-8,53,,5.0,-1.0,7.5,-1.0
scaffold-8,54,,5.0,-1.0,7.5,-1.0
scaffold-8,55,,5.0,-1.0,7.5,-1.0
scaffold-8,56,,5.0,-1.0,7.5,-1.0
scaffold-8,57,,5.0,-1.0,7.5,-1.0
scaffold-8,58,,5.0,-1.0,7.5,-1.0
scaffold-8,59,,5.0,-1.0,7.5,-1.0
scaffold-8,60,,5.0,-1.0,7.5,-1.0
scaffold-9,1,,6.0,1.0,0.3,-1.0
scaffold-9,3,,6.0,1.0,0.3,-1.0
scaffold-9,4,,6.0,1.0,0.3,-1.0
scaffold-9,5,,6.0,1.0,0.3,-1.0
scaffold-9,7,,6.0,1.0,0.3,-1.0
scaffold-9,8,,6.0,1.0,0.3,-1.0
scaffold-9,10,,6.0,1.0,0.3,-1.0
scaffold-9,11,,6.0,1.0,0.3,-1.0
